gene_symbol,log2fc,pvalue,padj,sig,direction
P2RX7,-0.3167459128282076,0.29852319854681914,0.29852319854681914,FALSE,ns
NLRP3,0.23035027554873325,0.318925762723791,0.318925762723791,FALSE,ns
CASP1,-0.19636884991035897,0.2971011954579143,0.2971011954579143,FALSE,ns
IL1B,-0.08277078398274017,0.7330527329565377,0.7330527329565377,FALSE,ns
SOD2,-0.5609186611313921,0.09810189058444728,0.09810189058444728,FALSE,ns
VDAC1,-0.00645032389913385,0.9092546839580772,0.9092546839580772,FALSE,ns
PANX1,0.4027792620465011,0.04872062552883136,0.04872062552883136,TRUE,up
ATP5F1A,-0.08319913494270444,0.5559414392965043,0.5559414392965043,FALSE,ns
