gene_symbol,log2fc,pvalue,padj,diffexpressed,is_purinergic,purinergic_category,is_mitochondrial,mito_category,mito_complex,is_crosstalk,top_hallmark
LOC105375489,0.22927070281619924,0.144568569058817,0.144568569058817,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CRYBA2,-0.20724277105194255,0.14458635935680367,0.14458635935680367,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RELCH,0.22948049158573697,0.14461657372482695,0.14461657372482695,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CACFD1,0.23038071141055075,0.1446637111280622,0.1446637111280622,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
EFTUD2,-0.6588298686027902,0.14467413669762172,0.14467413669762172,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PPM1B-DT,-0.19422140245479527,0.14472615216152615,0.14472615216152615,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SURF1,-0.2737731338126129,0.14472798739149642,0.14472798739149642,NS,FALSE,NA,TRUE,complex_IV,Complex IV,FALSE,NA
LOC107987110,0.5552165477766968,0.14477644840351067,0.14477644840351067,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
TRM-CAT6-1,0.6200381777765902,0.1448019045906626,0.1448019045906626,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
KIRREL3,-0.4301013717337302,0.14494096865231496,0.14494096865231496,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105377979,-0.3125847325571657,0.14500338012525607,0.14500338012525607,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
STARD13-AS,-0.3431031806968445,0.14500724213298402,0.14500724213298402,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MSI2,-0.31005364925219325,0.14505847838352606,0.14505847838352606,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
HPS5,-0.15501224388792362,0.1451156245844364,0.1451156245844364,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
APLF,-0.24113668767990296,0.1451201828982914,0.1451201828982914,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RBM7,-0.5547851445251578,0.145154968774386,0.145154968774386,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZBTB46,0.33707343402678724,0.14518053829620783,0.14518053829620783,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC101928636,0.06715968815871753,0.1452177947859427,0.1452177947859427,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC02511,-1.0550022651340163,0.14522408730543582,0.14522408730543582,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC112268289,0.4515342405385032,0.1452853561350775,0.1452853561350775,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
COP1,0.12739785252789432,0.14534083920353413,0.14534083920353413,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105369975,0.4646660136744099,0.14545769684362467,0.14545769684362467,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SP110,-0.38012206673131255,0.14545818967997656,0.14545818967997656,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CDH22,0.94496024081081,0.14550671349227742,0.14550671349227742,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
HTR7,0.8041930699721871,0.14551043791205123,0.14551043791205123,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
FUNDC2,-0.16545659872071056,0.14553050203792817,0.14553050203792817,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
DLGAP2,0.9798882049725168,0.1455557535232906,0.1455557535232906,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
FER1L5,0.33282940178734055,0.14562470684353396,0.14562470684353396,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MIRLET7BHG,-0.19813445988332057,0.14564003380629864,0.14564003380629864,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
TDRD12,0.13100836137892988,0.14565691348613707,0.14565691348613707,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105375704,0.08221512636330307,0.1456683889007764,0.1456683889007764,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ABCF2-H2BK1,-0.06337817132361724,0.14568557140177676,0.14568557140177676,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MIR6742,-0.6879110538342388,0.1457255280984181,0.1457255280984181,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CAMTA1,0.5710842603816249,0.14576394387424893,0.14576394387424893,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RASSF7,0.3396546541174418,0.14581029230162282,0.14581029230162282,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PALD1,-0.36514850488671013,0.1458342940296531,0.1458342940296531,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105370313,0.7027765635320936,0.14586767022398872,0.14586767022398872,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC112268081,0.10050560294374634,0.14586884805889133,0.14586884805889133,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CNMD,-0.9023871554081604,0.14592423703276722,0.14592423703276722,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNORD115-14,-0.9833693254558796,0.145951621006788,0.145951621006788,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
COMMD4,0.24703024589578715,0.1460770146413608,0.1460770146413608,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SERINC1,0.23582870324107183,0.14612873520059752,0.14612873520059752,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105378230,-0.22746700750367604,0.14614672068288717,0.14614672068288717,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CCL27,0.5522862594109023,0.14620019972017073,0.14620019972017073,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SPATA22,0.15790022481894855,0.14621483703574267,0.14621483703574267,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RDX,-0.263251806451393,0.14621512200906597,0.14621512200906597,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105375800,0.39739897886654024,0.14629652597851023,0.14629652597851023,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
EPN1,0.2456460011998196,0.14633475343426167,0.14633475343426167,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
JTB,0.1823165955271494,0.14633668907646347,0.14633668907646347,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MXD1,0.3231395953427874,0.14640134729870144,0.14640134729870144,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MEIS1-AS3,0.8800669545588823,0.1464339700301272,0.1464339700301272,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLC35F1,0.17717223590938583,0.14645152905093878,0.14645152905093878,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01128,0.5532562907880453,0.14645960740324462,0.14645960740324462,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RNF169,-0.3071938855093474,0.1464633159754632,0.1464633159754632,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZC4H2,0.2937608495262458,0.1464861853959336,0.1464861853959336,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
HLA-B,-0.533787928842785,0.14652272980515618,0.14652272980515618,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
HMGB3P1,0.26092985184045275,0.14659735703707374,0.14659735703707374,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNORD45B,-0.4277141698801597,0.14663027467179776,0.14663027467179776,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
BBS10,-0.37940685250011086,0.14667466675167806,0.14667466675167806,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PRKCD,0.466199962877382,0.14668636454107312,0.14668636454107312,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZNF506,0.2408519876116106,0.14672897145272473,0.14672897145272473,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RBM26-AS1,0.40520861950467313,0.14677370162678224,0.14677370162678224,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SP7,0.10948396176995712,0.14680556941691994,0.14680556941691994,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
TMEM102,0.2893394866149681,0.14681560057673598,0.14681560057673598,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
GSK3B,0.20498114217178387,0.14685386640873804,0.14685386640873804,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
