lfc_threshold,padj_threshold,n_up,n_down,n_total
0.5,0.01,23,21,44
1,0.01,8,6,14
1.5,0.01,1,2,3
2,0.01,0,2,2
0.5,0.05,138,131,269
1,0.05,31,33,64
1.5,0.05,2,9,11
2,0.05,0,3,3
0.5,0.1,371,268,639
1,0.1,73,73,146
1.5,0.1,8,13,21
2,0.1,1,4,5
