"gene_symbol","category","complex","log2fc","pvalue","padj","diffexpressed","sig","direction"
"UQCR10","complex_III","Complex III",0.14142225485375,0.207167927054089,0.207167927054089,"NS",FALSE,"NS"
"UQCR11","complex_III","Complex III",-0.0294742023053439,0.706525228445964,0.706525228445964,"NS",FALSE,"NS"
"CYC1","complex_III","Complex III",-0.00844139806223057,0.904849593122879,0.904849593122879,"NS",FALSE,"NS"
"MT-CYB","complex_III","Complex III",NA,NA,NA,NA,NA,"NS"
"BCS1L","complex_III","Complex III",0.0221246193928935,0.895794984382046,0.895794984382046,"NS",FALSE,"NS"
"TTC19","complex_III","Complex III",-0.0685896627850194,0.59359493431764,0.59359493431764,"NS",FALSE,"NS"
"COX4I1","complex_IV","Complex IV",0.079681895286887,0.291346407801964,0.291346407801964,"NS",FALSE,"NS"
"COX4I2","complex_IV","Complex IV",0.0975202314643127,0.326982831294438,0.326982831294438,"NS",FALSE,"NS"
"COX5A","complex_IV","Complex IV",0.0102332279471646,0.921910721448236,0.921910721448236,"NS",FALSE,"NS"
"COX5B","complex_IV","Complex IV",0.142903182860434,0.228728530927363,0.228728530927363,"NS",FALSE,"NS"
"COX6A1","complex_IV","Complex IV",0.12497964901658,0.0995943405349482,0.0995943405349482,"NS",FALSE,"NS"
"COX6A2","complex_IV","Complex IV",0.484247637309265,0.181595410808137,0.181595410808137,"NS",FALSE,"NS"
"COX6B1","complex_IV","Complex IV",0.0596787599475531,0.307203535304746,0.307203535304746,"NS",FALSE,"NS"
"COX6B2","complex_IV","Complex IV",-0.104678785032396,0.82180478010287,0.82180478010287,"NS",FALSE,"NS"
"COX6C","complex_IV","Complex IV",0.326362157513776,0.0800906774857884,0.0800906774857884,"NS",FALSE,"NS"
"COX7A1","complex_IV","Complex IV",0.0309750071901511,0.955191947218059,0.955191947218059,"NS",FALSE,"NS"
"COX7A2","complex_IV","Complex IV",0.10713896429554,0.143044009855339,0.143044009855339,"NS",FALSE,"NS"
"COX7B","complex_IV","Complex IV",0.117232384490336,0.475884815102212,0.475884815102212,"NS",FALSE,"NS"
"COX7C","complex_IV","Complex IV",-0.0164680851387802,0.84944376591616,0.84944376591616,"NS",FALSE,"NS"
"COX8A","complex_IV","Complex IV",0.134275332290078,0.265265171232946,0.265265171232946,"NS",FALSE,"NS"
"COX8C","complex_IV","Complex IV",0.129762565977022,0.492380951896207,0.492380951896207,"NS",FALSE,"NS"
"MT-CO1","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"MT-CO2","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"MT-CO3","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"COX10","complex_IV","Complex IV",-0.00982308248564171,0.957552814161286,0.957552814161286,"NS",FALSE,"NS"
"COX11","complex_IV","Complex IV",0.010269959818641,0.935868723994855,0.935868723994855,"NS",FALSE,"NS"
"COX14","complex_IV","Complex IV",0.121735883357966,0.279547955466962,0.279547955466962,"NS",FALSE,"NS"
"COX15","complex_IV","Complex IV",0.0232132258363667,0.784603272097683,0.784603272097683,"NS",FALSE,"NS"
"COX16","complex_IV","Complex IV",0.045991324363552,0.422121143210755,0.422121143210755,"NS",FALSE,"NS"
"COX17","complex_IV","Complex IV",0.321928094887362,0.00464100797520853,0.00464100797520853,"NS",FALSE,"NS"
"COX18","complex_IV","Complex IV",-0.0393349123050325,0.800662467312417,0.800662467312417,"NS",FALSE,"NS"
"COX19","complex_IV","Complex IV",0.0673645097583018,0.616988774621179,0.616988774621179,"NS",FALSE,"NS"
"COX20","complex_IV","Complex IV",0.0353165202973195,0.895648503650883,0.895648503650883,"NS",FALSE,"NS"
"SCO1","complex_IV","Complex IV",-0.113806635861302,0.366944665306858,0.366944665306858,"NS",FALSE,"NS"
"SCO2","complex_IV","Complex IV",0.141134562811691,0.472920955779885,0.472920955779885,"NS",FALSE,"NS"
"SURF1","complex_IV","Complex IV",-0.273773133812613,0.144727987391496,0.144727987391496,"NS",FALSE,"NS"
