"complex","n_measured","n_sig","mean_lfc","median_lfc","sem","ttest_p","sig_star"
"Complex I",38,0,0.0473160861965332,0.0450041445122758,0.0141118763371188,0.0018549373623656,"**"
"Complex II",6,0,0.0300172552021778,-0.0141865090486478,0.0845241011045175,0.736979687090731,""
"Complex III",11,0,0.00689880254423185,-0.00844139806223057,0.0172040695093479,0.696855622361437,""
"Complex IV",27,0,0.0760763126697976,0.0673645097583018,0.0279666245365804,0.0114740373017014,"*"
"Complex V",16,0,0.0508334294084204,0.0376019467145618,0.0294073532073107,0.104403111706761,""
