gene_symbol,category,log2fc,pvalue,padj,diffexpressed,sig,direction,measured
CASP1,downstream,-0.09671145394260816,0.8044593968613152,0.8044593968613152,NS,FALSE,NS,TRUE
IL1B,downstream,-0.0748811328316677,0.7554877202939461,0.7554877202939461,NS,FALSE,NS,TRUE
IL18,downstream,-0.2685805536956752,0.5306266693540924,0.5306266693540924,NS,FALSE,NS,TRUE
PYCARD,downstream,-0.1976287067245364,0.4820481839720218,0.4820481839720218,NS,FALSE,NS,TRUE
HMGB1,downstream,0.1134713576118496,0.4926709413940745,0.4926709413940745,NS,FALSE,NS,TRUE
NFKB1,downstream,-0.3869672166148537,0.1609155365637624,0.1609155365637624,NS,FALSE,NS,TRUE
NFKB2,downstream,-0.4743257176411917,0.02583061530727224,0.02583061530727224,NS,FALSE,NS,TRUE
RELA,downstream,-0.224344736864515,0.40817446959752224,0.40817446959752224,NS,FALSE,NS,TRUE
TNF,downstream,0.04117269422549428,0.7516185169002885,0.7516185169002885,NS,FALSE,NS,TRUE
IL6,downstream,-0.01007033460857835,0.9705080423569604,0.9705080423569604,NS,FALSE,NS,TRUE
CXCL8,downstream,0.4631058105986019,0.5562662203766724,0.5562662203766724,NS,FALSE,NS,TRUE
ADK,adenosine_metabolism,-0.14926330703832688,0.29832719699425064,0.29832719699425064,NS,FALSE,NS,TRUE
ATIC,adenosine_metabolism,-0.02596813879833403,0.8220368986467509,0.8220368986467509,NS,FALSE,NS,TRUE
AMPD1,adenosine_metabolism,0.0124749667798498,0.45332593926469805,0.45332593926469805,NS,FALSE,NS,TRUE
AMPD2,adenosine_metabolism,0.0176562980937044,0.88494245919431,0.88494245919431,NS,FALSE,NS,TRUE
AMPD3,adenosine_metabolism,-0.02528120377745086,0.904979934369456,0.904979934369456,NS,FALSE,NS,TRUE
SLC28A1,adenosine_metabolism,0.03259041477443036,0.31724439863731424,0.31724439863731424,NS,FALSE,NS,TRUE
SLC28A2,adenosine_metabolism,0.08060061909472768,0.36660889330117624,0.36660889330117624,NS,FALSE,NS,TRUE
SLC28A3,adenosine_metabolism,-0.08290976497401348,0.4007083488156471,0.4007083488156471,NS,FALSE,NS,TRUE
SLC29A1,adenosine_metabolism,0.03049555903597678,0.910249936201813,0.910249936201813,NS,FALSE,NS,TRUE
SLC29A2,adenosine_metabolism,-0.05656817246042836,0.7079237078548648,0.7079237078548648,NS,FALSE,NS,TRUE
SLC29A3,adenosine_metabolism,0.01487924702410736,0.9485150044870372,0.9485150044870372,NS,FALSE,NS,TRUE
SLC29A4,adenosine_metabolism,-0.1627458908807431,0.20735896655809796,0.20735896655809796,NS,FALSE,NS,TRUE
