"gene_symbol","category","complex","log2fc","pvalue","padj","diffexpressed","sig","direction"
"UQCR10","complex_III","Complex III",0.245112497836531,0.0360377084985553,0.0360377084985553,"NS",FALSE,"NS"
"UQCR11","complex_III","Complex III",-0.017663452046732,0.853405855213877,0.853405855213877,"NS",FALSE,"NS"
"CYC1","complex_III","Complex III",0.0242359840059483,0.72244756210269,0.72244756210269,"NS",FALSE,"NS"
"MT-CYB","complex_III","Complex III",NA,NA,NA,NA,NA,"NS"
"BCS1L","complex_III","Complex III",0.0348754776680505,0.765647619231608,0.765647619231608,"NS",FALSE,"NS"
"TTC19","complex_III","Complex III",0.017527597915148,0.891384881042258,0.891384881042258,"NS",FALSE,"NS"
"COX4I1","complex_IV","Complex IV",0.0512630335083117,0.60861688653689,0.60861688653689,"NS",FALSE,"NS"
"COX4I2","complex_IV","Complex IV",-0.0456206089664613,0.44536788874916,0.44536788874916,"NS",FALSE,"NS"
"COX5A","complex_IV","Complex IV",0.0359898570552142,0.764796521132417,0.764796521132417,"NS",FALSE,"NS"
"COX5B","complex_IV","Complex IV",0.0925807187295864,0.401619654040123,0.401619654040123,"NS",FALSE,"NS"
"COX6A1","complex_IV","Complex IV",0.0805521761926984,0.283413913371546,0.283413913371546,"NS",FALSE,"NS"
"COX6A2","complex_IV","Complex IV",-0.0982049254995611,0.609343240587343,0.609343240587343,"NS",FALSE,"NS"
"COX6B1","complex_IV","Complex IV",0.122137331315403,0.144530289505136,0.144530289505136,"NS",FALSE,"NS"
"COX6B2","complex_IV","Complex IV",-0.312034173345965,0.21131260636673,0.21131260636673,"NS",FALSE,"NS"
"COX6C","complex_IV","Complex IV",0.353472702326379,0.0176013076810927,0.0176013076810927,"NS",FALSE,"NS"
"COX7A1","complex_IV","Complex IV",0.144925632104685,0.688116533990153,0.688116533990153,"NS",FALSE,"NS"
"COX7A2","complex_IV","Complex IV",0.0688220327444376,0.481439477623161,0.481439477623161,"NS",FALSE,"NS"
"COX7B","complex_IV","Complex IV",0.178891258503854,0.140357623257724,0.140357623257724,"NS",FALSE,"NS"
