lfc_threshold,padj_threshold,n_up,n_down,n_total
0.5,0.01,46,12,58
1,0.01,16,2,18
1.5,0.01,2,2,4
2,0.01,0,2,2
0.5,0.05,192,73,265
1,0.05,31,13,44
1.5,0.05,4,4,8
2,0.05,0,2,2
0.5,0.1,361,167,528
1,0.1,46,24,70
1.5,0.1,4,9,13
2,0.1,0,3,3
