"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005581","collagen trimer","2/9","86/19729",0.0232558139534884,50.9793281653747,9.92304727195985,0.000662823300905529,0.00391590901779308,0.00164880379696551,"COL22A1/COLEC12",2
"GO:0062023","collagen-containing extracellular matrix","3/9","430/19729",0.00697674418604651,15.2937984496124,6.40211996434722,0.000783181803558617,0.00391590901779308,0.00164880379696551,"COL22A1/COLEC12/SPARCL1",3
"GO:0005788","endoplasmic reticulum lumen","2/9","314/19729",0.00636942675159236,13.962491153574,4.94645347578651,0.00844287305402746,0.0281429101800915,0.0118496463916175,"COL22A1/SPARCL1",2
"GO:0009897","external side of plasma membrane","2/9","407/19729",0.00491400491400491,10.7720447720448,4.25565039241477,0.0138852738296447,0.0347131845741117,0.0146160777154155,"MICA/ULBP2",2
