gene_symbol,log2fc,pvalue,padj,sig,direction
P2RX7,-0.33473093212608634,0.20617996866749064,0.20617996866749064,FALSE,ns
NLRP3,0.03115540722669077,0.8197894009929205,0.8197894009929205,FALSE,ns
CASP1,-0.09671145394260816,0.8044593968613152,0.8044593968613152,FALSE,ns
IL1B,-0.0748811328316677,0.7554877202939461,0.7554877202939461,FALSE,ns
SOD2,-0.24999682267220985,0.36086104512893535,0.36086104512893535,FALSE,ns
VDAC1,0.09313378062243624,0.4719674316914366,0.4719674316914366,FALSE,ns
PANX1,0.4230409014113479,0.116594828053241,0.116594828053241,FALSE,ns
ATP5F1A,-0.02507160097101221,0.7781202116855719,0.7781202116855719,FALSE,ns
