"complex","n_measured","n_sig","mean_lfc","median_lfc","sem","ttest_p","sig_star"
"Complex I",38,0,0.0596632287869358,0.0799495367535989,0.0156452798373706,0.000502805808074733,"***"
"Complex II",6,0,-0.0126171386111687,-0.00914779772230542,0.0294255426893424,0.685927310972296,""
"Complex III",11,0,0.0464601617831064,0.032401001807142,0.023016413629298,0.071150352869104,""
"Complex IV",27,0,0.0240408168697112,0.0359898570552142,0.0272748373290415,0.386162004607073,""
"Complex V",16,0,0.0738625680132712,0.0722742944746743,0.0207276779118674,0.00282991189441377,"**"
