"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"C4317009","Diverticular Diseases","3/23","83/21671",0.036144578313253,34.056050288109,9.83486235471974,9.07753307847301e-05,0.0266523078766392,0.020285967128778,"CALCA/CALCB/GPR158",3
"C0432416","Down Syndrome, Partial Trisomy 21","2/23","19/21671",0.105263157894737,99.1807780320366,13.9552861056443,0.000182238002575311,0.0266523078766392,0.020285967128778,"NTF3/CALCA",2
"C0432417","Trisomy 21, Meiotic Nondisjunction","2/23","19/21671",0.105263157894737,99.1807780320366,13.9552861056443,0.000182238002575311,0.0266523078766392,0.020285967128778,"NTF3/CALCA",2
"C0751081","Trisomy 21, Mitotic Nondisjunction","2/23","19/21671",0.105263157894737,99.1807780320366,13.9552861056443,0.000182238002575311,0.0266523078766392,0.020285967128778,"NTF3/CALCA",2
