"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","1/1","200/4384",0.005,21.92,4.57383865041171,0.0456204379562044,0.0456204379562044,NA,"SPARCL1",1
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","1/1","200/4384",0.005,21.92,4.57383865041171,0.0456204379562044,0.0456204379562044,NA,"SPARCL1",1
