"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","2/9","16/18781",0.125,260.847222222222,22.7676161814132,2.44111494238118e-05,0.00101881144585681,0.000491190733237515,"MICA/ULBP2",2
"GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","2/9","17/18781",0.117647058823529,245.503267973856,22.0831078077728,2.76590933774674e-05,0.00101881144585681,0.000491190733237515,"MICA/ULBP2",2
"GO:0001916","positive regulation of T cell mediated cytotoxicity","2/9","41/18781",0.048780487804878,101.794037940379,14.1467199069189,0.000165776046547114,0.00217166620976719,0.00104700660977125,"MICA/ULBP2",2
"GO:0001913","T cell mediated cytotoxicity","2/9","59/18781",0.0338983050847458,70.7382297551789,11.7472058817162,0.000344361229800905,0.00375927675865988,0.00181242752526792,"MICA/ULBP2",2
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity","2/9","71/18781",0.028169014084507,58.7824726134585,10.6807605462062,0.000498648682038916,0.00466592695336415,0.00224954292649135,"MICA/ULBP2",2
"GO:0031343","positive regulation of cell killing","2/9","78/18781",0.0256410256410256,53.5071225071225,10.1747479369795,0.00060154424659424,0.00475464732499782,0.00229231691040474,"MICA/ULBP2",2
"GO:0042267","natural killer cell mediated cytotoxicity","2/9","79/18781",0.0253164556962025,52.8298171589311,10.1079473707128,0.000617015301717275,0.00475464732499782,0.00229231691040474,"MICA/ULBP2",2
"GO:0030101","natural killer cell activation","2/9","101/18781",0.0198019801980198,41.3223322332233,8.89675580770204,0.00100581748981277,0.00658810455827362,0.00317626575730347,"MICA/ULBP2",2
"GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","2/9","132/18781",0.0151515151515152,31.6178451178451,7.72943214324666,0.00170880961795364,0.00900037884317508,0.00433927465319811,"MICA/ULBP2",2
"GO:0002708","positive regulation of lymphocyte mediated immunity","2/9","135/18781",0.0148148148148148,30.9152263374486,7.63800807651482,0.00178633473223322,0.00900037884317508,0.00433927465319811,"MICA/ULBP2",2
"GO:0001909","leukocyte mediated cytotoxicity","2/9","149/18781",0.0134228187919463,28.0104399701715,7.24784389333242,0.00216999795814998,0.0101524904470589,0.00489473223642853,"MICA/ULBP2",2
"GO:0001906","cell killing","2/9","262/18781",0.00763358778625954,15.9296013570823,5.32848646913941,0.00654237320823058,0.0252073791258296,0.0121530152474872,"MICA/ULBP2",2
"GO:0071360","cellular response to exogenous dsRNA","1/9","17/18781",0.0588235294117647,122.751633986928,10.9963947778126,0.00811882034773848,0.0295434851542706,0.0142435444697166,"COLEC12",1
"GO:0045953","negative regulation of natural killer cell mediated cytotoxicity","1/9","20/18781",0.05,104.338888888889,10.1242898387906,0.00954545511198679,0.0329067005176387,0.0158650223467924,"MICA",1
"GO:1900037","regulation of cellular response to hypoxia","1/9","20/18781",0.05,104.338888888889,10.1242898387906,0.00954545511198679,0.0329067005176387,0.0158650223467924,"CHCHD2",1
"GO:0042742","defense response to bacterium","2/9","340/18781",0.00588235294117647,12.2751633986928,4.59392440979731,0.010815143866382,0.0350513365332557,0.0168989971233053,"MICA/COLEC12",2
"GO:0034138","toll-like receptor 3 signaling pathway","1/9","26/18781",0.0384615384615385,80.2606837606838,8.85522764409261,0.012393253950826,0.0368980969899593,0.0177893597380278,"COLEC12",1
"GO:0046629","gamma-delta T cell activation","1/9","26/18781",0.0384615384615385,80.2606837606838,8.85522764409261,0.012393253950826,0.0368980969899593,0.0177893597380278,"MICA",1
"GO:0002449","lymphocyte mediated immunity","2/9","374/18781",0.0053475935828877,11.1592394533571,4.34529501796572,0.0129793719988532,0.0372199179943861,0.0179445165099491,"MICA/ULBP2",2
"GO:0006910","phagocytosis, recognition","1/9","29/18781",0.0344827586206897,71.9578544061303,8.37316120735736,0.0138144221062799,0.0372199179943861,0.0179445165099491,"COLEC12",1
"GO:0031579","membrane raft organization","1/9","29/18781",0.0344827586206897,71.9578544061303,8.37316120735736,0.0138144221062799,0.0372199179943861,0.0179445165099491,"COLEC12",1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","2/9","388/18781",0.00515463917525773,10.7565864833906,4.25207828601107,0.0139219540589689,0.0372199179943861,0.0179445165099491,"MICA/ULBP2",2
"GO:0002418","immune response to tumor cell","1/9","31/18781",0.032258064516129,67.3154121863799,8.09111660687242,0.0147608573479303,0.0386734462515774,0.0186452934921225,"MICA",1
"GO:0099560","synaptic membrane adhesion","1/9","33/18781",0.0303030303030303,63.2356902356902,7.83488784421545,0.0157064851371381,0.0395682606339441,0.0190767025957143,"SPARCL1",1
"GO:1901223","negative regulation of non-canonical NF-kappaB signal transduction","1/9","39/18781",0.0256410256410256,53.5071225071225,7.18714375241016,0.0185385298165099,0.0458216491691095,0.0220915946174895,"NLRP2",1
"GO:0032814","regulation of natural killer cell activation","1/9","40/18781",0.025,52.1694444444445,7.09345949268653,0.0190098324113048,0.0461164452940913,0.0222337221184852,"MICA",1
"GO:0045088","regulation of innate immune response","2/9","469/18781",0.00426439232409382,8.89883913764511,3.7931112175715,0.0199436024880333,0.0474065094585732,0.0228556895742418,"MICA/COLEC12",2
