gene_symbol,log2fc,pvalue,padj
A1BG,-0.15794091181444478,0.3753164775747254,0.3753164775747254
NAT2,-0.1760513967548525,0.1294422366253182,0.1294422366253182
ADA,0.05800792366619151,0.8429925889566059,0.8429925889566059
CDH2,-0.1001479649719458,0.45628779304184286,0.45628779304184286
AKT3,0.03398455398699362,0.8386461466974443,0.8386461466974443
GAGE12F,-0.009702596267276015,0.8289131206079808,0.8289131206079808
RNA5-8SN5,0.015107098907712871,0.9237218017785178,0.9237218017785178
RNA18SN5,-0.13999712038613904,0.6530846111390576,0.6530846111390576
RNA28SN5,-0.04704326750878534,0.8701607557668614,0.8701607557668614
TRY-GTA7-1,0,1,1
TRY-GTA5-4,0,1,1
TRF-GAA2-1,-0.4473147002531764,0.18536114848507435,0.18536114848507435
TRF-GAA1-4,0.19792827991506462,0.39100221895577053,0.39100221895577053
TRH-GTG1-6,0,1,1
LINC02584,-0.06651083770176268,0.32377495203733975,0.32377495203733975
POU5F1P5,-0.02290594894451361,0.7049823633576275,0.7049823633576275
ZBTB11-AS1,-0.1294837444536958,0.262270344953163,0.262270344953163
MED6,0.0867480334037789,0.21793775684746935,0.21793775684746935
NR2E3,0.05688283819558857,0.4883156509052503,0.4883156509052503
NAALAD2,0.007219420495558265,0.9747975050805973,0.9747975050805973
DUXB,-0.058246968259352674,0.5881180897791297,0.5881180897791297
SNORD116-1,0.4952972998363081,0.17242541353582538,0.17242541353582538
SNORD116-2,-0.024504963508648094,0.8939729757093926,0.8939729757093926
SNORD116-3,-0.3268765325986541,0.2856080656894139,0.2856080656894139
SNORD116-4,-0.16070957879501285,0.45469127121659125,0.45469127121659125
SNORD116-5,-0.12425551247563814,0.7505102390675173,0.7505102390675173
SNORD116-6,-0.04815271379532737,0.9135440340326466,0.9135440340326466
SNORD116-7,0.05724852946335114,0.889976222710781,0.889976222710781
SNORD116-8,0.022211279090158558,0.9453064667050746,0.9453064667050746
SNORD116-9,0.0546217463018146,0.9120626547390005,0.9120626547390005
SNORD116-10,-0.33488286558025115,0.18691874196139888,0.18691874196139888
SNORD116-11,0.6989963012714234,0.10394714407182858,0.10394714407182858
SNORD116-12,-0.23386459130892082,0.6900225825667632,0.6900225825667632
SNORD116-13,-0.17869297152978136,0.6121410947950987,0.6121410947950987
SNORD116-14,-0.2671563944689806,0.3793852106483999,0.3793852106483999
SNORD116-15,-0.4648993621088202,0.21535870784777822,0.21535870784777822
SNORD116-16,-0.12078391610969506,0.796413159705027,0.796413159705027
SNORD116-17,0.07369153686398477,0.9259913271866824,0.9259913271866824
SNORD116-18,-0.5043805895024562,0.33001840165818236,0.33001840165818236
SNORD116-20,0.0762204269073268,0.8183636162164298,0.8183636162164298
SNORD116-21,0.4255731542218298,0.40681571892402163,0.40681571892402163
SNORD116-22,-0.22097926551867733,0.6859814572933476,0.6859814572933476
SNORD116-23,-0.18296648983780944,0.6743585512649628,0.6743585512649628
SNORD116-24,0.031702720351317104,0.8885592353016816,0.8885592353016816
SNORD116-25,-0.19925152590624964,0.6913733776133395,0.6913733776133395
SNORD115-2,-0.19455988602261223,0.39100221895577053,0.39100221895577053
SNORD116-26,0.23916165010271656,0.5362273625176421,0.5362273625176421
SNORD116-27,-0.3408226118700332,0.2879281654486623,0.2879281654486623
SNORD115-3,0.08807576665549963,0.8248235663718526,0.8248235663718526
SNORD115-4,0.4667092468564939,0.24164897200805635,0.24164897200805635
SNORD115-5,0.09855265196856858,0.8312155925201796,0.8312155925201796
SNORD115-6,0.3237367461168274,0.4794972829395475,0.4794972829395475
SNORD115-7,0,1,1
SNORD115-8,-0.49646234958226415,0.39100221895577053,0.39100221895577053
SNORD115-9,0.5506172192853639,0.1839265632588087,0.1839265632588087
SNORD115-10,-0.2673565850590241,0.5487918854414584,0.5487918854414584
SNORD115-11,0.17336431474080913,0.703271207469441,0.703271207469441
SNORD115-12,0.7386800235184605,0.3526770713397673,0.3526770713397673
SNORD115-13,0.11696795878033323,0.6973735017058376,0.6973735017058376
SNORD115-14,-0.6427026708624017,0.30257227730064906,0.30257227730064906
SNORD115-15,-0.03074781736443185,0.947196190759193,0.947196190759193
SNORD115-16,0.3589307028478766,0.19819274870115375,0.19819274870115375
SNORD115-17,0.7077066830604587,0.4681443093864296,0.4681443093864296
SNORD115-18,-0.5331365826294839,0.33361880707635755,0.33361880707635755
SNORD115-19,-0.49286904778852286,0.5713546483796532,0.5713546483796532
SNORD115-20,0.5929454873936084,0.371402862039024,0.371402862039024
SNORD115-21,-0.3410409618919227,0.4353755524090899,0.4353755524090899
SNORD115-22,-0.022038672568439808,0.9545458723813844,0.9545458723813844
SNORD115-23,0.16437081682526422,0.5612061712067139,0.5612061712067139
SNORD115-25,0.6427708749744463,0.22464468932016984,0.22464468932016984
SNORD115-26,-0.09353453790444417,0.8584440579468957,0.8584440579468957
SNORD115-29,0.23121733992060617,0.39100221895577053,0.39100221895577053
SNORD115-30,0.13642308197759204,0.6656386575910758,0.6656386575910758
SNORD115-31,0.8650895772368287,0.2179209474326915,0.2179209474326915
SNORD115-32,0.24933003907867568,0.5820247179804945,0.5820247179804945
SNORD115-33,0,1,1
SNORD115-34,-1.0775848292956018,0.24727132351094483,0.24727132351094483
SNORD115-35,0.8153638006823004,0.28435049102976545,0.28435049102976545
SNORD115-36,-0.026132582461481396,0.9591235455147494,0.9591235455147494
SNORD115-37,0.7425208040839779,0.3841301230411414,0.3841301230411414
SNORD115-38,-0.10046108712248886,0.7933387313980689,0.7933387313980689
SNORD115-39,-0.5474125691309115,0.34490870740770824,0.34490870740770824
SNORD115-40,0.32115546547191787,0.5277366377858377,0.5277366377858377
SNORD115-41,-0.015452345495609173,0.974189706833503,0.974189706833503
SNORD115-42,0.10835857767883599,0.8635454749426504,0.8635454749426504
SNORD115-43,-1.0593417066013795,0.2415130385023851,0.2415130385023851
SNORD115-44,-0.20150159814236066,0.541041461647158,0.541041461647158
MIR675,-0.3617717634424644,0.5581668490360013,0.5581668490360013
SNORD116-28,-0.7295891469072353,0.03855963237878877,0.03855963237878877
SNORD116-29,-0.34492594428493656,0.46662561615912856,0.46662561615912856
SNORD115-48,-0.2888014916473435,0.39100221895577053,0.39100221895577053
PDZK1P1,-0.042062112781758094,0.7551163923257489,0.7551163923257489
SNORD115-24,-0.2446517680967704,0.5920224508938217,0.5920224508938217
SNORD115-27,0.09503705086588572,0.7905556607431202,0.7905556607431202
SNORD115-28,0.09717687903438443,0.7905497743622911,0.7905497743622911
SNORD115-45,-0.2391417408464961,0.5389391065095266,0.5389391065095266
SNORD115-47,0,1,1
DDTL,0.19936339786473636,0.25721597419539666,0.25721597419539666
TLX1NB,0,1,1
NAALADL1,-0.12842948500038437,0.2548068183662307,0.2548068183662307
CDKN2B-AS1,-0.021776311874415255,0.849909401189077,0.849909401189077
GUSBP17,0.07905350730551505,0.8297276659700318,0.8297276659700318
SIGLEC14,0.003448919040923004,0.5361875783767429,0.5361875783767429
TRK-TTT3-4,0.4882600779083252,0.32401290330300403,0.32401290330300403
TRV-CAC1-5,0,1,1
NINJ2-AS1,0.2855102541951178,0.44658255871276087,0.44658255871276087
ACOT8,0.06020982321112333,0.4434117762039754,0.4434117762039754
ABI1,0.05144361844935726,0.5236674462213717,0.5236674462213717
GNPDA1,-0.08751426707851445,0.6217611062082127,0.6217611062082127
MIMT1,0,1,1
KCNE3,0.007554085871643882,0.9287828011439374,0.9287828011439374
ZBTB33,-0.19491928316495657,0.1499190517333479,0.1499190517333479
SNHG8,-0.16194395570878128,0.5917574818385655,0.5917574818385655
GTF2IP4,0.43173352597336573,0.03407698030981807,0.03407698030981807
GS1-600G8.3,0.002459707442732471,0.9609713956520058,0.9609713956520058
CDH3,-0.16924188408343901,0.4621958092500851,0.4621958092500851
TANK,-0.03667079656643431,0.7170973975120052,0.7170973975120052
TTTY21B,0,1,1
TTTY1B,0,1,1
TTTY2B,-0.023808900276680884,0.18691148781315575,0.18691148781315575
TTTY8B,0,1,1
TTTY7B,0,1,1
TTTY23B,0,1,1
FKBP6P1,-0.1483294622170941,0.4447614357267,0.4447614357267
HAVCR1P1,0.3006422642205868,0.4265560310402973,0.4265560310402973
POM121C,-0.0618342896745788,0.6413262435712535,0.6413262435712535
PMS2P7,0.05534144580620434,0.6087266580984982,0.6087266580984982
ZSCAN30,0.0031217963296928473,0.9794131603380802,0.9794131603380802
H2BW3P,0.27573777453581816,0.4549551131403149,0.4549551131403149
ANKRD26P3,0.009640984846052712,0.1879506345492193,0.1879506345492193
SRA1,0.05597538110525709,0.7916924262774165,0.7916924262774165
SNORD119,-0.44948744391977935,0.36990131274596133,0.36990131274596133
SNORD121A,0.9261322922435318,0.07455895008346013,0.07455895008346013
SNORD125,0.19024983321371458,0.6100542367840687,0.6100542367840687
SNORD19B,0.19318972797620135,0.47256605262973506,0.47256605262973506
SNORD105B,-0.17463012438566325,0.39100221895577053,0.39100221895577053
SNORD123,-0.3146797454794069,0.5143959718452196,0.5143959718452196
UCKL1-AS1,0.002005858666748638,0.98724538157799,0.98724538157799
SNORD127,-0.1452119235686915,0.7074054382762773,0.7074054382762773
SNORD126,-0.3764602862211032,0.26562354915943315,0.26562354915943315
SNORD11B,0.6203765668789633,0.31741236452227484,0.31741236452227484
SNORD12B,-0.09059080859679026,0.7361765049714695,0.7361765049714695
SNORD111B,-0.392097566783076,0.18316045813325874,0.18316045813325874
LIN28B-AS1,0.25105732684684867,0.16746625594952533,0.16746625594952533
LINC00583,0,1,1
TMEM170B,0.02663388003874396,0.9065330085075253,0.9065330085075253
