gene_symbol,log2fc,pvalue,padj
A1BG,0.17043384221016225,0.45016991653057914,0.45016991653057914
NAT2,0.056151453877667505,0.5479608896438366,0.5479608896438366
ADA,0.27638581080413116,0.4948080397418901,0.4948080397418901
CDH2,-0.13585432535262004,0.5590716858625767,0.5590716858625767
AKT3,-0.11903401690278154,0.21481087049972372,0.21481087049972372
GAGE12F,-0.04663635138517692,0.5681280689726566,0.5681280689726566
RNA5-8SN5,1.1705025117741081,0.2679863558169514,0.2679863558169514
RNA18SN5,1.3142223062466472,0.26480087335001873,0.26480087335001873
RNA28SN5,0.7970573150620898,0.26643213294342816,0.26643213294342816
TRY-GTA7-1,0.3903925458542682,0.39100221895577053,0.39100221895577053
TRY-GTA5-4,0,1,1
TRF-GAA2-1,-0.3574941958866774,0.4840533164843065,0.4840533164843065
TRF-GAA1-4,0,1,1
TRH-GTG1-6,0,1,1
LINC02584,-0.00386160573404632,0.945819488948515,0.945819488948515
POU5F1P5,-0.14236974821358034,0.320712856450041,0.320712856450041
ZBTB11-AS1,0.07274470753985585,0.6529023920239205,0.6529023920239205
MED6,0.009201730771812312,0.93061822607085265,0.93061822607085265
NR2E3,0.13552612282513843,0.19484471068000828,0.19484471068000828
NAALAD2,-0.21515236813205357,0.541308553002028,0.541308553002028
DUXB,0.11843460158141855,0.3118230052674335,0.3118230052674335
SNORD116-1,0.07801728743017283,0.8467719070127713,0.8467719070127713
SNORD116-2,0.5016282786597677,0.13870193191991695,0.13870193191991695
SNORD116-3,0.054401596725919356,0.8555822366827633,0.8555822366827633
SNORD116-4,-0.43599703729293005,0.058158263534701535,0.058158263534701535
SNORD116-5,0.06040133174853636,0.917762631535355,0.917762631535355
SNORD116-6,0.06962540027220837,0.7856770275872685,0.7856770275872685
SNORD116-7,0.6703105000955707,0.24139577057771755,0.24139577057771755
SNORD116-8,-0.010447894584678197,0.9828140790682188,0.9828140790682188
SNORD116-9,-0.10668698788266369,0.7068469879683441,0.7068469879683441
SNORD116-10,-0.41088377719558045,0.39100221895577053,0.39100221895577053
SNORD116-11,0.0543155176880284,0.8940988132031911,0.8940988132031911
SNORD116-12,0.5406865785396014,0.09492976542691361,0.09492976542691361
SNORD116-13,0.09044874685290048,0.7579365804191227,0.7579365804191227
SNORD116-14,-0.27853549937398203,0.1793758099779131,0.1793758099779131
SNORD116-15,-0.09884974400721128,0.833923798922654,0.833923798922654
SNORD116-16,0.4533222454052656,0.28050369029693545,0.28050369029693545
SNORD116-17,0.395493251693379,0.5885404435883219,0.5885404435883219
SNORD116-18,0.19446192415709918,0.5237666779539623,0.5237666779539623
SNORD116-20,-0.23478383485525242,0.599533950816176,0.599533950816176
SNORD116-21,0.34413630123713695,0.5454066378068179,0.5454066378068179
SNORD116-22,-0.11479507743216763,0.820530924848463,0.820530924848463
SNORD116-23,0.2747169081506738,0.5480570255833723,0.5480570255833723
