lfc_threshold,padj_threshold,n_up,n_down,n_total
0.5,0.01,103,20,123
1,0.01,67,10,77
1.5,0.01,35,8,43
2,0.01,22,5,27
0.5,0.05,473,164,637
1,0.05,244,81,325
1.5,0.05,114,44,158
2,0.05,59,19,78
0.5,0.1,473,164,637
1,0.1,244,81,325
1.5,0.1,114,44,158
2,0.1,59,19,78
