"gene_symbol","category","complex","log2fc","pvalue","padj","diffexpressed","sig","direction"
"COX11","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"COX14","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"COX15","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"COX16","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"COX17","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"COX18","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"COX19","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"COX20","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"SCO1","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"SCO2","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"SURF1","complex_IV","Complex IV",-0.36744647928024,0.037792477,0.037792477,"NS",FALSE,"NS"
"ATP5F1A","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5F1B","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5F1C","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5F1D","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5F1E","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5MC1","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5MC2","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5MC3","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5ME","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5MF","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5MG","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5PB","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5PD","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5PF","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5PO","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"MT-ATP6","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"MT-ATP8","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5IF1","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"DNM1L","fission",NA,NA,NA,NA,NA,NA,"NS"
"FIS1","fission",NA,NA,NA,NA,NA,NA,"NS"
"MFF","fission",NA,NA,NA,NA,NA,NA,"NS"
"MIEF1","fission",NA,NA,NA,NA,NA,NA,"NS"
"MIEF2","fission",NA,NA,NA,NA,NA,NA,"NS"
"MFN1","fusion",NA,NA,NA,NA,NA,NA,"NS"
"MFN2","fusion",NA,NA,NA,NA,NA,NA,"NS"
"OPA1","fusion",NA,NA,NA,NA,NA,NA,"NS"
"OPA3","fusion",NA,NA,NA,NA,NA,NA,"NS"
"PINK1","mitophagy",NA,NA,NA,NA,NA,NA,"NS"
"PRKN","mitophagy",NA,NA,NA,NA,NA,NA,"NS"
"BNIP3","mitophagy",NA,NA,NA,NA,NA,NA,"NS"
"BNIP3L","mitophagy",NA,NA,NA,NA,NA,NA,"NS"
"FUNDC1","mitophagy",NA,NA,NA,NA,NA,NA,"NS"
"OPTN","mitophagy",NA,NA,NA,NA,NA,NA,"NS"
"CALCOCO2","mitophagy",NA,-0.296291004809274,0.034729482,0.034729482,"NS",FALSE,"NS"
"NBR1","mitophagy",NA,NA,NA,NA,NA,NA,"NS"
"USP30","mitophagy",NA,NA,NA,NA,NA,NA,"NS"
"USP15","mitophagy",NA,NA,NA,NA,NA,NA,"NS"
"MUL1","mitophagy",NA,NA,NA,NA,NA,NA,"NS"
"AMBRA1","mitophagy",NA,NA,NA,NA,NA,NA,"NS"
"PHB2","mitophagy",NA,NA,NA,NA,NA,NA,"NS"
"SQSTM1","mitophagy",NA,NA,NA,NA,NA,NA,"NS"
"POLG","mtdna_maintenance",NA,NA,NA,NA,NA,NA,"NS"
"POLG2","mtdna_maintenance",NA,NA,NA,NA,NA,NA,"NS"
"TFAM","mtdna_maintenance",NA,NA,NA,NA,NA,NA,"NS"
"TWNK","mtdna_maintenance",NA,NA,NA,NA,NA,NA,"NS"
"SSBP1","mtdna_maintenance",NA,NA,NA,NA,NA,NA,"NS"
"TOP1MT","mtdna_maintenance",NA,NA,NA,NA,NA,NA,"NS"
"POLRMT","mtdna_maintenance",NA,NA,NA,NA,NA,NA,"NS"
"TFB1M","mtdna_maintenance",NA,NA,NA,NA,NA,NA,"NS"
"TFB2M","mtdna_maintenance",NA,NA,NA,NA,NA,NA,"NS"
"MTERF1","mtdna_maintenance",NA,NA,NA,NA,NA,NA,"NS"
"MTERF2","mtdna_maintenance",NA,NA,NA,NA,NA,NA,"NS"
"MTERF3","mtdna_maintenance",NA,NA,NA,NA,NA,NA,"NS"
"MTERF4","mtdna_maintenance",NA,NA,NA,NA,NA,NA,"NS"
"RHOT1","mito_transport",NA,NA,NA,NA,NA,NA,"NS"
"RHOT2","mito_transport",NA,NA,NA,NA,NA,NA,"NS"
"TRAK1","mito_transport",NA,NA,NA,NA,NA,NA,"NS"
"TRAK2","mito_transport",NA,NA,NA,NA,NA,NA,"NS"
"KIF5A","mito_transport",NA,NA,NA,NA,NA,NA,"NS"
"KIF5B","mito_transport",NA,NA,NA,NA,NA,NA,"NS"
"KIF5C","mito_transport",NA,NA,NA,NA,NA,NA,"NS"
"TOMM20","mito_transport",NA,NA,NA,NA,NA,NA,"NS"
"TOMM22","mito_transport",NA,NA,NA,NA,NA,NA,"NS"
"TOMM40","mito_transport",NA,NA,NA,NA,NA,NA,"NS"
"TIMM23","mito_transport",NA,NA,NA,NA,NA,NA,"NS"
"TIMM44","mito_transport",NA,NA,NA,NA,NA,NA,"NS"
"TIMM50","mito_transport",NA,NA,NA,NA,NA,NA,"NS"
"SOD1","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"SOD2","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"CAT","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"GPX1","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"GPX2","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"GPX3","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"GPX4","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"PRDX1","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"PRDX2","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"PRDX3","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"PRDX4","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"PRDX5","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"PRDX6","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"TXN","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"TXN2","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"TXNRD1","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"TXNRD2","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"GLRX","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"GLRX2","ros_defense",NA,NA,NA,NA,NA,NA,"NS"
"CS","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"ACO1","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"ACO2","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
