gene_symbol,log2fc,pvalue,padj,diffexpressed,is_purinergic,purinergic_category,is_mitochondrial,mito_category,mito_complex,is_crosstalk,top_hallmark
FIG4,0.2997283866126938,0.002373727,0.002373727,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
COL22A1,-2.924143420053244,0.002386678,0.002386678,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
PRMT8,0.718006309265926,0.002394834,0.002394834,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
FGD5P1,0.9998453788083296,0.002396795,0.002396795,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
REXO2,-0.29435185140403086,0.002419152,0.002419152,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107986027,2.118657078547879,0.002498318,0.002498318,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
NTF3,1.4044905155665528,0.00258262,0.00258262,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105373393,-1.1679609039882837,0.002639241,0.002639241,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC101929536,-2.927400157123144,0.002676024,0.002676024,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CLEC7A,1.6314493239745125,0.002806523,0.002806523,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105369965,1.088322518211689,0.002842709,0.002842709,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105371995,1.0682540038392696,0.002907525,0.002907525,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
PRDM8-AS1,0.8014782142880229,0.002956293,0.002956293,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
NIT2,-0.2561550107165289,0.00303155,0.00303155,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RNF212B,0.7282475889127118,0.003049936,0.003049936,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZIM2,2.5445615478409165,0.003104318,0.003104318,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
BCRP2,0.6052556886579359,0.003147383,0.003147383,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
HLA-DMB,0.8043910531145922,0.003149494,0.003149494,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LRRC3-DT,0.6623317237940625,0.003361623,0.003361623,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC02600,0.8758271193181126,0.003508861,0.003508861,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC102724900,3.742967336907194,0.00356558,0.00356558,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
MIR12119,0.454692569806695,0.003593667,0.003593667,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
BCL2L11,0.4075370377459213,0.003619064,0.003619064,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MMP21,2.9403376761287667,0.003657121,0.003657121,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105379176,1.6088351802071394,0.003842303,0.003842303,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LSP1P5,-0.5008114597552434,0.0038779,0.0038779,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105379499,0.770617492746173,0.003889497,0.003889497,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LY6E-DT,0.5193330926980332,0.003991651,0.003991651,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLC25A48,1.55683379898093,0.003992832,0.003992832,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
TAS2R8,3.416798357044656,0.004175358,0.004175358,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNCG,0.6441389422959435,0.004386272,0.004386272,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
