"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"DOWN_full_ranked_unpurified","GO:0001912","positive regulation of leukocyte mediated cytotoxicity","2/9","71/18986",0.028169014084507,59.4241001564945,10.7406560756311,0.00048802871921705,0.00465348534384392,0.00224354456111398,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0048002","antigen processing and presentation of peptide antigen","2/9","72/18986",0.0277777777777778,58.5987654320988,10.6635180254943,0.000501848928037061,0.00465348534384392,0.00224354456111398,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0002711","positive regulation of T cell mediated immunity","2/9","75/18986",0.0266666666666667,56.2548148148148,10.4413412236262,0.000544445768813082,0.00465348534384392,0.00224354456111398,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0031343","positive regulation of cell killing","2/9","78/18986",0.0256410256410256,54.0911680911681,10.2319771548678,0.00058874394258279,0.00465348534384392,0.00224354456111398,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0042267","natural killer cell mediated cytotoxicity","2/9","79/18986",0.0253164556962025,53.4064697609001,10.1648252232538,0.00060388741103318,0.00465348534384392,0.00224354456111398,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0002228","natural killer cell mediated immunity","2/9","84/18986",0.0238095238095238,50.2275132275132,9.84705668187241,0.000682428943659005,0.00496656620107387,0.00239448752161054,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0001910","regulation of leukocyte mediated cytotoxicity","2/9","98/18986",0.0204081632653061,43.0521541950113,9.08910406071025,0.000927260857047301,0.00639321959332613,0.00308230755805197,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0030101","natural killer cell activation","2/9","102/18986",0.0196078431372549,41.363834422658,8.90139929042122,0.00100391794707452,0.00657566255333809,0.00317026720128795,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0002709","regulation of T cell mediated immunity","2/9","108/18986",0.0185185185185185,39.0658436213992,8.63937096777287,0.00112445741420134,0.00701447244097026,0.00338182680962809,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0031341","regulation of cell killing","2/9","112/18986",0.0178571428571429,37.6706349206349,8.47633752995324,0.00120850652746982,0.00719610704993394,0.00346939672957844,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0019882","antigen processing and presentation","2/9","118/18986",0.0169491525423729,35.7551789077213,8.24727308022233,0.00134009202047967,0.00763269802968858,0.00367988655509293,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","2/9","133/18986",0.0150375939849624,31.7226399331662,7.74295783668253,0.00169780992382032,0.00898718239025077,0.0043329123617119,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0002708","positive regulation of lymphocyte mediated immunity","2/9","136/18986",0.0147058823529412,31.0228758169935,7.65206840073101,0.00177425279195709,0.00898718239025077,0.0043329123617119,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0002456","T cell mediated immunity","2/9","138/18986",0.0144927536231884,30.573268921095,7.59309818697986,0.00182611736451325,0.00898718239025077,0.0043329123617119,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0002821","positive regulation of adaptive immune response","2/9","139/18986",0.0143884892086331,30.3533173461231,7.56408240264262,0.00185232003463184,0.00898718239025077,0.0043329123617119,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0001909","leukocyte mediated cytotoxicity","2/9","151/18986",0.0132450331125828,27.9411331861663,7.23826196501743,0.00218075829365352,0.0102028334453076,0.00491900366989517,"MICA/ULBP2",2
