"Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"UP_full_ranked_unpurified","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","5/14","370/9564",0.0135135135135135,9.23166023166023,6.18294607143417,0.00012647169464533,0.00303532067148792,0.0025294338929066,"796/2151/797/10888/2897",5
"DOWN_full_ranked_unpurified","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","2/4","134/9564",0.0149253731343284,35.6865671641791,8.27096153782837,0.00114775083478111,0.00459100333912443,0.00241631754690759,"100507436/80328",2
"DOWN_full_ranked_purified","Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","2/16","29/9564",0.0689655172413793,41.2241379310345,8.88027182106863,0.00103766939986288,0.0404691065946523,0.0393222088369091,"9770/23286",2
