category,n_genes,n_measured,n_sig,n_up,n_down,mean_lfc
P1_receptors,4,0,0,0,0,NA
P2X_receptors,7,0,0,0,0,NA
P2Y_receptors,10,0,0,0,0,NA
adenosine_metabolism,12,0,0,0,0,NA
atp_release,13,1,0,0,0,0.4148815842111513
downstream,12,1,0,0,0,-0.6599751436686598
ectonucleotidases,21,1,0,0,0,0.16821503860991413
