"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005576","extracellular region","27/67","117/487",0.230769230769231,1.67738231917336,3.35395179408595,0.00105898150829845,0.0431081300600049,0.0411228872282941,"CRLF1/IGF1/RAC2/RBBP8NL/CD34/KRTDAP/GAST/PRSS48/C6orf58/SLC5A12/ADAMTS20/MMP1/CD22/ADAMTS5/FAM180B/CFHR1/FGL1/CD8B/ALKAL1/PNOC/FABP4/APOD/CRB3/MIR1238/CPA5/CD14/LCN1",27
"GO:0071944","cell periphery","33/67","156/487",0.211538461538462,1.53760045924225,3.24966672982696,0.00119299048922252,0.0431081300600049,0.0411228872282941,"CRLF1/IGF1/RAC2/TRAV18/CD34/SSTR4/DAPP1/CLEC4C/SLC5A12/ADAMTS20/MMP1/CD22/ADAMTS5/CLEC1A/BDKRB1/SLC38A8/FGL1/CD8B/OPALIN/ALKAL1/PNOC/CLEC7A/TRAV19/NPFFR1/GFRA3/CRB3/HLA-DPA1/OR10AD1/CD14/GPR158/CLCN1/SYT9/ADRA2A",33
"GO:0043235","receptor complex","7/67","15/487",0.466666666666667,3.39203980099503,3.75468858714935,0.00179617208583354,0.0431081300600049,0.0411228872282941,"CRLF1/TRAV18/CD8B/TRAV19/GFRA3/CD14/ADRA2A",7
"GO:0098797","plasma membrane protein complex","7/67","15/487",0.466666666666667,3.39203980099503,3.75468858714935,0.00179617208583354,0.0431081300600049,0.0411228872282941,"IGF1/RAC2/TRAV18/CD8B/TRAV19/CRB3/HLA-DPA1",7
"GO:0009986","cell surface","9/67","24/487",0.375,2.72574626865672,3.45957666552396,0.00248664402337636,0.0477435652488261,0.0455448484281565,"CRLF1/CD34/CLEC4C/CD22/CD8B/CLEC7A/GFRA3/HLA-DPA1/CD14",9
