gene_symbol,log2fc,pvalue,padj,diffexpressed,is_purinergic,purinergic_category,is_mitochondrial,mito_category,mito_complex,is_crosstalk,top_hallmark
LINC01094,-2.898384118737907,0.004115576,0.004115576,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CHRNA1,-1.0350685226466143,0.004185084,0.004185084,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CDH8,0.7739434523219635,0.004299281,0.004299281,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ALDH6A1,-0.5072050689801082,0.004340884,0.004340884,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
UBN1,0.16908915423820678,0.004400189,0.004400189,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
INO80C,0.35526801340564146,0.004476317,0.004476317,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC00640,2.046325863027274,0.00450914,0.00450914,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
DHTKD1,-0.37615226311137584,0.00455674,0.00455674,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
COX17,0.32481637418910564,0.004641008,0.004641008,NS,FALSE,NA,TRUE,complex_IV,Complex IV,FALSE,NA
SLC30A4-AS1,3.1603548684246436,0.004684534,0.004684534,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
DENND2B,-0.5666832247883333,0.004793252,0.004793252,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CYFIP1,-0.4210961553958388,0.004904525,0.004904525,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
DIP2C-AS1,0.9898071140760136,0.004927147,0.004927147,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SSTR4,1.5832229163480154,0.004957159,0.004957159,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
FOXL2,-2.044784562038931,0.004977509,0.004977509,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01931,3.2146567725734636,0.00498204,0.00498204,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
VASH1,0.25311705347106617,0.005071616,0.005071616,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC101926944,2.505192350939792,0.005321242,0.005321242,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZHX1-C8orf76,0.3633576838929067,0.005441652,0.005441652,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
INTS5,0.13644994158933335,0.005476717,0.005476717,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105369435,1.850759405881791,0.005477423,0.005477423,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZFP36L1,-1.077454932506695,0.005573651,0.005573651,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
C1QTNF5,-1.0055354932506166,0.005609453,0.005609453,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
MFRP,-1.0055354932506166,0.005609453,0.005609453,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ELL2,0.5971917142112184,0.005872259,0.005872259,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105371611,2.08647777434731,0.005872758,0.005872758,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
IPW,-0.3801261650236864,0.006065319,0.006065319,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
JAK3,0.3903435181547581,0.006190345,0.006190345,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLC51A,0.652836923881016,0.006226025,0.006226025,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
IL36G,-2.7648408770999997,0.006262587,0.006262587,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107986457,0.7469428143638072,0.006291777,0.006291777,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105377161,-2.6749090721738176,0.00633631,0.00633631,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
TRIM25,-0.6002774672160551,0.006430794,0.006430794,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ARHGAP31,-0.8121470009357408,0.006580485,0.006580485,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105375243,1.9144513317827776,0.006777924,0.006777924,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107986330,-2.9094445676485607,0.006813095,0.006813095,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
NPAS3,-0.5873590046084375,0.006916902,0.006916902,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
DAPP1,1.29143772756031,0.007236683,0.007236683,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01402,2.497915350339896,0.007466721,0.007466721,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
VIM,-0.9021263682806776,0.007484104,0.007484104,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
HLA-J,-0.8870947009170863,0.007535827,0.007535827,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
TOP1P1,-0.33982169750813923,0.007587938,0.007587938,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105371265,2.0522014505339183,0.007757681,0.007757681,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNORD108,-0.5305147173399777,0.007962483,0.007962483,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CLNK,2.771447268501797,0.007990228,0.007990228,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107984888,1.4400368766704423,0.008147197,0.008147197,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105375912,1.5190337529548448,0.008168039,0.008168039,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
KRTDAP,1.3443338233964457,0.008273901,0.008273901,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNORD38D,-1.7534773043823797,0.008563938,0.008563938,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
VIM-AS1,-0.8609723739116808,0.008619619,0.008619619,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
GAL3ST2,1.642187876334308,0.008737909,0.008737909,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SMG6,0.2194049664323436,0.008859769,0.008859769,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNORD107,-0.46728629299025226,0.008958433,0.008958433,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105372358,1.7881179512336178,0.009100008,0.009100008,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ABCD1,0.4149794094362449,0.009174011,0.009174011,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PEG3,2.1820528468076557,0.009178315,0.009178315,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
RAET1K,-0.6855963256295384,0.009359924,0.009359924,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LYRM4-AS1,-0.3889084358093339,0.009407387,0.009407387,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC02593,0.9924883917087152,0.009654381,0.009654381,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PANK1-AS1,-0.9901225724414252,0.009688289,0.009688289,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MAB21L3,1.4362134219374805,0.009762615,0.009762615,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC02532,4.389161084840356,0.009822338,0.009822338,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
GAST,3.2573925786472344,0.010078452,0.010078452,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SAP30,-0.49168960969806064,0.010099495,0.010099495,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
VWA1,0.8161661128556996,0.01018369,0.01018369,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
BLMH,-0.24879747869886287,0.010209415,0.010209415,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MCOLN3,-0.7169232011801224,0.010425085,0.010425085,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CEP250-AS1,0.2846513651557598,0.010455583,0.010455583,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RBL1,-0.24770915372946503,0.010461097,0.010461097,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MAP1LC3B2,0.2780644009047028,0.010494384,0.010494384,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PRSS48,2.0025705539179772,0.010584645,0.010584645,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105374444,1.1399058472402244,0.010622499,0.010622499,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
TMEM203,0.11989058643388369,0.010754029,0.010754029,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC00578,1.6597274161787203,0.01090821,0.01090821,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105377778,1.329313334530631,0.011040433,0.011040433,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
PWARSN,-0.46329414845179245,0.011142411,0.011142411,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
TJP2,-0.646993025178134,0.011154881,0.011154881,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ATG4A,0.37986920400678226,0.011224725,0.011224725,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
HMGXB3,0.12315631924616824,0.011264153,0.011264153,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
TAS2R46,-1.278251454886767,0.011270632,0.011270632,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
GLIS3-AS1,-0.7848098717355266,0.011282444,0.011282444,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
APAF1,0.4069003837727415,0.011708221,0.011708221,NS,FALSE,NA,TRUE,mito_apoptosis,NA,FALSE,NA
STBD1,0.3268235693097735,0.011807039,0.011807039,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
C6orf58,1.6758348021321514,0.011809241,0.011809241,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZNF621,-0.33709758580668636,0.01183225,0.01183225,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
UBE2K,0.2992259677102405,0.011883827,0.011883827,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
WWC2,-0.3352067086836867,0.011987391,0.011987391,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SRSF3,-0.18185180669200324,0.012060023,0.012060023,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZNF772,0.43134195685982185,0.012085314,0.012085314,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PNP,0.16821503860991413,0.012104716,0.012104716,NS,TRUE,ectonucleotidases,FALSE,NA,NA,FALSE,NA
HLA-DQB1-AS1,2.223880051751905,0.012112898,0.012112898,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC02615,0.809276502824117,0.01224647,0.01224647,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CLEC4C,2.1558419277128387,0.012257369,0.012257369,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105370092,1.3449316920092456,0.012276759,0.012276759,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
DPP3-DT,0.5390458453391156,0.012346212,0.012346212,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PRKAR2A,0.26713094411096716,0.012369974,0.012369974,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNORA59B,0.807241013077576,0.01238326,0.01238326,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
TBC1D22A-AS1,1.453458241943374,0.012392861,0.012392861,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
BHLHE40-AS1,0.4178907724238004,0.012494897,0.012494897,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SPINT2,0.9191912374566544,0.012512581,0.012512581,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
HOXD1,1.1128871232622932,0.012641453,0.012641453,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
MRPL16,-0.1401720924359556,0.012777026,0.012777026,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZNF578,1.1797710317020644,0.012828976,0.012828976,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105378555,-2.398952101471623,0.012869023,0.012869023,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZNF860,0.5502190198033585,0.012880154,0.012880154,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
TMEM184A,0.5492906653318911,0.01291107,0.01291107,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CHST3,-0.7028934909574144,0.013020536,0.013020536,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
GLUL,-0.7183227088148895,0.01306247,0.01306247,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
KATNA1,-0.16163633692450444,0.013095064,0.013095064,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLC5A12,1.0567642083633506,0.013126086,0.013126086,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
